V1	V(n001)	Ic(Q1)
Step Information: V2=660m  (Step: 1/9)
1.000000000000000e-02	1.000000e-02	-6.510077e-04
1.071773462536293e-02	1.071773e-02	-5.897433e-04
1.148698354997035e-02	1.148698e-02	-5.247241e-04
1.231144413344916e-02	1.231144e-02	-4.557818e-04
1.319507910772894e-02	1.319508e-02	-3.827517e-04
1.414213562373095e-02	1.414214e-02	-3.054759e-04
1.515716566510398e-02	1.515717e-02	-2.238067e-04
1.624504792712471e-02	1.624505e-02	-1.376106e-04
1.741101126592248e-02	1.741101e-02	-4.677271e-05
1.866065983073614e-02	1.866066e-02	4.879702e-05
1.999999999999999e-02	2.000000e-02	1.491579e-04
2.143546925072586e-02	2.143547e-02	2.543306e-04
2.297396709994069e-02	2.297397e-02	3.642890e-04
2.462288826689831e-02	2.462289e-02	4.789506e-04
2.639015821545787e-02	2.639016e-02	5.981659e-04
2.828427124746189e-02	2.828427e-02	7.217076e-04
3.031433133020795e-02	3.031433e-02	8.492584e-04
3.249009585424940e-02	3.249010e-02	9.803999e-04
3.482202253184495e-02	3.482202e-02	1.114601e-03
3.732131966147228e-02	3.732132e-02	1.251210e-03
3.999999999999997e-02	4.000000e-02	1.389444e-03
4.287093850145170e-02	4.287094e-02	1.528394e-03
4.594793419988137e-02	4.594794e-02	1.667022e-03
4.924577653379662e-02	4.924577e-02	1.804175e-03
5.278031643091573e-02	5.278032e-02	1.938609e-03
5.656854249492376e-02	5.656854e-02	2.069019e-03
6.062866266041587e-02	6.062866e-02	2.194086e-03
6.498019170849878e-02	6.498019e-02	2.312525e-03
6.964404506368987e-02	6.964404e-02	2.423155e-03
7.464263932294453e-02	7.464264e-02	2.524954e-03
7.999999999999993e-02	8.000000e-02	2.617127e-03
8.574187700290338e-02	8.574188e-02	2.699149e-03
9.189586839976270e-02	9.189587e-02	2.770806e-03
9.849155306759320e-02	9.849155e-02	2.832195e-03
1.055606328618314e-01	1.055606e-01	2.883717e-03
1.131370849898475e-01	1.131371e-01	2.926037e-03
1.212573253208317e-01	1.212573e-01	2.960026e-03
1.299603834169975e-01	1.299604e-01	2.986696e-03
1.392880901273797e-01	1.392881e-01	3.007127e-03
1.492852786458890e-01	1.492853e-01	3.022403e-03
1.599999999999998e-01	1.600000e-01	3.033548e-03
1.714837540058067e-01	1.714838e-01	3.041493e-03
1.837917367995254e-01	1.837917e-01	3.047039e-03
1.969831061351863e-01	1.969831e-01	3.050853e-03
2.111212657236628e-01	2.111213e-01	3.053466e-03
2.262741699796949e-01	2.262742e-01	3.055281e-03
2.425146506416634e-01	2.425147e-01	3.056593e-03
2.599207668339950e-01	2.599208e-01	3.057610e-03
