V2	V(n002)	Ib(Q1)
1.000000000000000e-02	1.000000e-02	-4.996281e-12
1.071773462536293e-02	1.071773e-02	-4.994045e-12
1.148698354997035e-02	1.148698e-02	-4.991627e-12
1.231144413344916e-02	1.231144e-02	-4.989012e-12
1.319507910772894e-02	1.319508e-02	-4.986182e-12
1.414213562373095e-02	1.414214e-02	-4.983116e-12
1.515716566510398e-02	1.515717e-02	-4.979791e-12
1.624504792712471e-02	1.624505e-02	-4.976180e-12
1.741101126592248e-02	1.741101e-02	-4.972257e-12
1.866065983073614e-02	1.866066e-02	-4.967986e-12
1.999999999999999e-02	2.000000e-02	-4.963331e-12
2.143546925072586e-02	2.143547e-02	-4.958248e-12
2.297396709994069e-02	2.297397e-02	-4.952688e-12
2.462288826689831e-02	2.462289e-02	-4.946594e-12
2.639015821545787e-02	2.639016e-02	-4.939900e-12
2.828427124746189e-02	2.828427e-02	-4.932525e-12
3.031433133020795e-02	3.031433e-02	-4.924381e-12
3.249009585424940e-02	3.249010e-02	-4.915355e-12
3.482202253184495e-02	3.482202e-02	-4.905319e-12
3.732131966147228e-02	3.732132e-02	-4.894113e-12
3.999999999999997e-02	4.000000e-02	-4.881544e-12
4.287093850145170e-02	4.287094e-02	-4.867380e-12
4.594793419988137e-02	4.594794e-02	-4.851320e-12
4.924577653379662e-02	4.924577e-02	-4.833003e-12
5.278031643091573e-02	5.278032e-02	-4.811962e-12
5.656854249492376e-02	5.656854e-02	-4.787607e-12
6.062866266041587e-02	6.062866e-02	-4.759169e-12
6.498019170849878e-02	6.498019e-02	-4.725645e-12
6.964404506368987e-02	6.964404e-02	-4.685709e-12
7.464263932294453e-02	7.464264e-02	-4.637588e-12
7.999999999999993e-02	8.000000e-02	-4.578871e-12
8.574187700290338e-02	8.574188e-02	-4.506243e-12
9.189586839976270e-02	9.189587e-02	-4.415079e-12
9.849155306759320e-02	9.849155e-02	-4.298826e-12
1.055606328618314e-01	1.055606e-01	-4.148060e-12
1.131370849898475e-01	1.131371e-01	-3.948984e-12
1.212573253208317e-01	1.212573e-01	-3.681071e-12
1.299603834169975e-01	1.299604e-01	-3.313183e-12
1.392880901273797e-01	1.392881e-01	-2.797168e-12
1.492852786458890e-01	1.492853e-01	-2.056980e-12
1.599999999999998e-01	1.600000e-01	-9.698937e-13
1.714837540058067e-01	1.714838e-01	6.669443e-13
1.837917367995254e-01	1.837917e-01	3.197195e-12
1.969831061351863e-01	1.969831e-01	7.218898e-12
2.111212657236628e-01	2.111213e-01	1.380265e-11
2.262741699796949e-01	2.262742e-01	2.492402e-11
2.425146506416634e-01	2.425147e-01	4.434838e-11
2.599207668339950e-01	2.599208e-01	7.950524e-11
2.785761802547593e-01	2.785762e-01	1.456060e-10
2.985705572917779e-01	2.985705e-01	2.750523e-10
3.199999999999995e-01	3.200000e-01	5.398492e-10
3.429675080116133e-01	3.429675e-01	1.107436e-09
3.675834735990506e-01	3.675835e-01	2.386572e-09
3.939662122703725e-01	3.939662e-01	5.428510e-09
4.222425314473255e-01	4.222425e-01	1.309234e-08
4.525483399593897e-01	4.525483e-01	3.363494e-08
4.850293012833266e-01	4.850293e-01	9.249000e-08
5.198415336679899e-01	5.198416e-01	2.736257e-07
5.571523605095184e-01	5.571523e-01	8.757153e-07
5.971411145835556e-01	5.971411e-01	3.049454e-06
6.399999999999988e-01	6.400000e-01	1.161587e-05
6.859350160232264e-01	6.859350e-01	4.844508e-05
7.351669471981009e-01	7.351670e-01	2.161154e-04
7.879324245407449e-01	7.879324e-01	9.171058e-04
8.444850628946508e-01	8.444850e-01	2.922782e-03
9.050966799187791e-01	9.050967e-01	6.486310e-03
9.700586025666529e-01	9.700586e-01	1.126092e-02
1.039683067335979e+00	1.039683e+00	1.695094e-02
1.114304721019037e+00	1.114305e+00	2.341108e-02
1.194282229167111e+00	1.194282e+00	3.058144e-02
1.200000000000000e+00	1.200000e+00	3.110109e-02
