time	V(input)	V(nc_01)
0.000000000000000e+00	0.000000e+00	4.077106e+00
8.928571532911587e-10	1.121997e-07	4.077105e+00
1.785714306582317e-09	2.243995e-07	4.077104e+00
2.678571459873476e-09	3.365992e-07	4.077101e+00
3.571428613164635e-09	4.487990e-07	4.077098e+00
4.464285766455793e-09	5.609987e-07	4.077093e+00
5.357142919746952e-09	6.731984e-07	4.077088e+00
6.250000073038109e-09	7.853982e-07	4.077081e+00
1.250000014607622e-08	1.570796e-06	4.077022e+00
2.500000029215244e-08	3.141593e-06	4.076858e+00
5.000000058430487e-08	6.283185e-06	4.076467e+00
1.000000011686097e-07	1.256637e-05	4.075640e+00
2.000000023372195e-07	2.513273e-05	4.073980e+00
4.000000046744390e-07	5.026543e-05	4.070689e+00
8.000000093488779e-07	1.005305e-04	4.064224e+00
1.600000018697756e-06	2.010585e-04	4.051742e+00
3.200000037395512e-06	4.020968e-04	4.028438e+00
6.400000074791024e-06	8.040310e-04	3.987568e+00
1.280000014958205e-05	1.606762e-03	3.921801e+00
2.256562514958205e-05	2.826189e-03	3.846812e+00
3.233125014958205e-05	4.034978e-03	3.793046e+00
4.209687514958205e-05	5.228581e-03	3.753873e+00
5.186250014958205e-05	6.402505e-03	3.723178e+00
6.162812514958205e-05	7.552331e-03	3.697657e+00
7.139375014958204e-05	8.673732e-03	3.675584e+00
8.115937514958204e-05	9.762487e-03	3.656090e+00
9.092500014958204e-05	1.081450e-02	3.638751e+00
1.104562501495820e-04	1.279260e-02	3.609888e+00
1.299875001495820e-04	1.457830e-02	3.588533e+00
1.495187501495820e-04	1.614472e-02	3.574766e+00
1.690500001495821e-04	1.746831e-02	3.568720e+00
1.885812501495821e-04	1.852916e-02	3.570453e+00
2.081125001495821e-04	1.931132e-02	3.579911e+00
2.276437501495821e-04	1.980301e-02	3.596922e+00
2.471750001495821e-04	1.999685e-02	3.621198e+00
2.667062501495821e-04	1.988992e-02	3.652340e+00
2.862375001495821e-04	1.948382e-02	3.689845e+00
3.057687501495821e-04	1.878467e-02	3.733117e+00
3.253000001495822e-04	1.780298e-02	3.781474e+00
3.448312501495822e-04	1.655352e-02	3.834163e+00
3.643625001495822e-04	1.505508e-02	3.890374e+00
3.838937501495822e-04	1.333019e-02	3.949249e+00
4.034250001495822e-04	1.140481e-02	4.009899e+00
4.229562501495822e-04	9.307888e-03	4.071416e+00
4.424875001495823e-04	7.070966e-03	4.132891e+00
4.620187501495823e-04	4.727690e-03	4.193421e+00
4.815500001495823e-04	2.313306e-03	4.252126e+00
5.010812501495823e-04	-1.358729e-04	4.308160e+00
5.206125001495823e-04	-2.583008e-03	4.360721e+00
5.401437501495823e-04	-4.991292e-03	4.409060e+00
5.596750001495823e-04	-7.324503e-03	4.452493e+00
5.792062501495823e-04	-9.547547e-03	4.490403e+00
5.987375001495824e-04	-1.162699e-02	4.522251e+00
6.182687501495824e-04	-1.353154e-02	4.547582e+00
6.378000001495824e-04	-1.523258e-02	4.566024e+00
6.573312501495824e-04	-1.670450e-02	4.577302e+00
6.768625001495824e-04	-1.792516e-02	4.581231e+00
6.963937501495824e-04	-1.887622e-02	4.577728e+00
7.159250001495825e-04	-1.954336e-02	4.566812e+00
7.354562501495825e-04	-1.991655e-02	4.548603e+00
7.549875001495825e-04	-1.999018e-02	4.523330e+00
7.647531251495825e-04	-1.991414e-02	4.508144e+00
7.842843751495825e-04	-1.953775e-02	4.472929e+00
8.038156251495825e-04	-1.886751e-02	4.431674e+00
8.233468751495826e-04	-1.791348e-02	4.384962e+00
8.428781251495826e-04	-1.669001e-02	4.333471e+00
8.624093751495826e-04	-1.521551e-02	4.277958e+00
8.819406251495826e-04	-1.351216e-02	4.219256e+00
9.014718751495826e-04	-1.160557e-02	4.158256e+00
9.210031251495826e-04	-9.524419e-03	4.095893e+00
9.405343751495827e-04	-7.300014e-03	4.033133e+00
9.600656251495827e-04	-4.965810e-03	3.970951e+00
9.795968751495827e-04	-2.556915e-03	3.910323e+00
9.991281251495827e-04	-1.095625e-04	3.852198e+00
1.018659375149583e-03	2.339438e-03	3.797490e+00
1.038190625149583e-03	4.753252e-03	3.747057e+00
1.057721875149583e-03	7.095572e-03	3.701689e+00
1.077253125149583e-03	9.331168e-03	3.662093e+00
1.096784375149583e-03	1.142641e-02	3.628884e+00
1.116315625149583e-03	1.334980e-02	3.602571e+00
1.135846875149583e-03	1.507239e-02	3.583552e+00
1.155378125149583e-03	1.656827e-02	3.572109e+00
1.174909375149583e-03	1.781496e-02	3.568401e+00
1.194440625149583e-03	1.879369e-02	3.572464e+00
1.213971875149583e-03	1.948974e-02	3.584211e+00
1.233503125149583e-03	1.989266e-02	3.603437e+00
1.253034375149583e-03	1.999637e-02	3.629820e+00
1.262800000149583e-03	1.993535e-02	3.645564e+00
1.272565625149583e-03	1.979931e-02	3.662928e+00
1.292096875149583e-03	1.930445e-02	3.702230e+00
1.311628125149583e-03	1.851924e-02	3.747102e+00
1.331159375149583e-03	1.745548e-02	3.796841e+00
1.350690625149583e-03	1.612918e-02	3.850675e+00
1.370221875149583e-03	1.456027e-02	3.907776e+00
1.389753125149583e-03	1.277237e-02	3.967278e+00
1.409284375149583e-03	1.079236e-02	4.028284e+00
1.428815625149583e-03	8.650017e-03	4.089884e+00
1.448346875149583e-03	6.377573e-03	4.151170e+00
1.467878125149583e-03	4.009205e-03	4.211243e+00
1.487409375149583e-03	1.580535e-03	4.269234e+00
1.506940625149583e-03	-8.719083e-04	4.324308e+00
1.526471875149583e-03	-3.311237e-03	4.375679e+00
1.546003125149583e-03	-5.700761e-03	4.422615e+00
1.565534375149583e-03	-8.004542e-03	4.464452e+00
1.585065625149583e-03	-1.018793e-02	4.500596e+00
1.604596875149583e-03	-1.221807e-02	4.530534e+00
1.624128125149583e-03	-1.406445e-02	4.553832e+00
1.643659375149583e-03	-1.569929e-02	4.570150e+00
1.663190625149583e-03	-1.709799e-02	4.579238e+00
1.682721875149583e-03	-1.823952e-02	4.580941e+00
1.702253125149583e-03	-1.910672e-02	4.575208e+00
1.721784375149583e-03	-1.968653e-02	4.562086e+00
1.741315625149583e-03	-1.997023e-02	4.541730e+00
1.760846875149583e-03	-1.995357e-02	4.514398e+00
1.780378125149583e-03	-1.963679e-02	4.480453e+00
1.799909375149583e-03	-1.902465e-02	4.440361e+00
1.819440625149583e-03	-1.812636e-02	4.394690e+00
1.838971875149583e-03	-1.695543e-02	4.344096e+00
1.858503125149583e-03	-1.552948e-02	4.289323e+00
1.878034375149583e-03	-1.386995e-02	4.231190e+00
1.897565625149584e-03	-1.200181e-02	4.170576e+00
1.917096875149584e-03	-9.953145e-03	4.108408e+00
1.936628125149584e-03	-7.754776e-03	4.045650e+00
1.956159375149584e-03	-5.439769e-03	3.983274e+00
1.975690625149583e-03	-3.042942e-03	3.922258e+00
1.995221875149583e-03	-6.003467e-04	3.863558e+00
2.014753125149582e-03	1.851278e-03	3.808095e+00
2.034284375149582e-03	4.275059e-03	3.756742e+00
2.053815625149581e-03	6.634538e-03	3.710301e+00
2.073346875149581e-03	8.894227e-03	3.669499e+00
2.092878125149581e-03	1.102014e-02	3.634968e+00
2.112409375149580e-03	1.298030e-02	3.607240e+00
2.131940625149580e-03	1.474522e-02	3.586737e+00
2.151471875149579e-03	1.628836e-02	3.573762e+00
2.171003125149579e-03	1.758651e-02	3.568500e+00
2.190534375149579e-03	1.862014e-02	3.571012e+00
2.210065625149578e-03	1.937371e-02	3.581235e+00
2.229596875149578e-03	1.983588e-02	3.598987e+00
2.249128125149577e-03	1.999970e-02	3.623970e+00
2.268659375149577e-03	1.986270e-02	3.655772e+00
2.288190625149576e-03	1.942695e-02	3.693882e+00
2.307721875149576e-03	1.869901e-02	3.737695e+00
2.327253125149576e-03	1.768981e-02	3.786520e+00
2.346784375149575e-03	1.641454e-02	3.839599e+00
2.366315625149575e-03	1.489238e-02	3.896116e+00
2.385846875149574e-03	1.314622e-02	3.955209e+00
2.405378125149574e-03	1.120234e-02	4.015986e+00
2.424909375149574e-03	9.089955e-03	4.077541e+00
2.444440625149573e-03	6.840854e-03	4.138961e+00
2.463971875149573e-03	4.488859e-03	4.199348e+00
2.483503125149572e-03	2.069348e-03	4.257824e+00
2.503034375149572e-03	-3.812877e-04	4.313546e+00
2.522565625149571e-03	-2.826189e-03	4.365717e+00
2.542096875149571e-03	-5.228581e-03	4.413596e+00
2.561628125149571e-03	-7.552331e-03	4.456502e+00
2.581159375149570e-03	-9.762487e-03	4.493830e+00
2.600690625149570e-03	-1.182581e-02	4.525045e+00
2.620221875149569e-03	-1.371125e-02	4.549702e+00
2.639753125149569e-03	-1.539047e-02	4.567439e+00
2.659284375149569e-03	-1.683820e-02	4.577988e+00
2.678815625149568e-03	-1.803267e-02	4.581176e+00
2.698346875149568e-03	-1.895591e-02	4.576930e+00
2.717878125149567e-03	-1.959404e-02	4.565277e+00
2.737409375149567e-03	-1.993745e-02	4.546350e+00
2.756940625149566e-03	-1.998099e-02	4.520387e+00
2.766706250149566e-03	-1.988992e-02	4.504869e+00
2.786237500149566e-03	-1.948382e-02	4.469028e+00
2.805768750149565e-03	-1.878467e-02	4.427198e+00
2.825300000149565e-03	-1.780298e-02	4.379977e+00
2.844831250149565e-03	-1.655352e-02	4.328048e+00
2.864362500149564e-03	-1.505508e-02	4.272178e+00
2.883893750149564e-03	-1.333019e-02	4.213205e+00
2.903425000149563e-03	-1.140481e-02	4.152026e+00
2.922956250149563e-03	-9.307888e-03	4.089579e+00
2.942487500149563e-03	-7.070966e-03	4.026832e+00
2.962018750149562e-03	-4.727690e-03	3.964763e+00
2.981550000149562e-03	-2.313306e-03	3.904342e+00
3.001081250149561e-03	1.358729e-04	3.846519e+00
3.020612500149561e-03	2.583008e-03	3.792201e+00
3.040143750149560e-03	4.991292e-03	3.742240e+00
3.059675000149560e-03	7.324503e-03	3.697418e+00
3.079206250149560e-03	9.547547e-03	3.658435e+00
3.098737500149559e-03	1.162699e-02	3.625895e+00
3.118268750149559e-03	1.353154e-02	3.600295e+00
3.137800000149558e-03	1.523258e-02	3.582024e+00
