time	Ib(Q1)	Ic(Q1)
0.000000000000000e+00	-5.025772e-12	5.051959e-12
4.145924507507257e-02	-1.948034e-11	-2.919732e-10
8.291849015014514e-02	-1.697146e-11	-3.894506e-10
1.243777352252177e-01	2.500884e-12	-2.873802e-10
1.658369803002903e-01	3.893668e-11	1.423799e-11
2.072962253753629e-01	9.233593e-11	5.154040e-10
2.487554704504354e-01	1.626986e-10	1.216118e-09
2.902147155255079e-01	2.500248e-10	2.116380e-09
3.195115905255079e-01	5.785523e-10	6.566218e-09
3.390428405255079e-01	1.036974e-09	1.396404e-08
3.488084655255079e-01	1.394015e-09	2.036129e-08
3.585740905255079e-01	1.877427e-09	2.968580e-08
3.683397155255079e-01	2.531844e-09	4.327373e-08
3.781053405255079e-01	3.417555e-09	6.306797e-08
3.878709655255079e-01	4.615901e-09	9.189056e-08
3.976365905255079e-01	6.236468e-09	1.338344e-07
4.074022155255079e-01	8.426575e-09	1.948239e-07
4.171678405255079e-01	1.138371e-08	2.834115e-07
4.269334655255079e-01	1.537159e-08	4.118992e-07
4.366990905255079e-01	2.074058e-08	5.978974e-07
4.464647155255079e-01	2.795290e-08	8.664540e-07
4.562303405255079e-01	3.761283e-08	1.252893e-06
4.659959655255079e-01	5.050069e-08	1.806474e-06
4.757615905255079e-01	6.760811e-08	2.594886e-06
4.855272155255079e-01	9.016919e-08	3.709399e-06
4.952928405255079e-01	1.196788e-07	5.270138e-06
5.050584655255079e-01	1.578868e-07	7.430496e-06
5.148240905255079e-01	2.067548e-07	1.037919e-05
5.245897155255079e-01	2.683663e-07	1.433827e-05
5.343553405255079e-01	3.447912e-07	1.955561e-05
5.441209655255079e-01	4.379193e-07	2.629164e-05
5.538865905255079e-01	5.492915e-07	3.480181e-05
5.636522155255079e-01	6.799676e-07	4.531776e-05
5.734178405255079e-01	8.304559e-07	5.803116e-05
5.831834655255079e-01	1.000718e-06	7.308318e-05
5.929490905255079e-01	1.190239e-06	9.056095e-05
6.027147155255079e-01	1.398133e-06	1.105003e-04
6.124803405255079e-01	1.623264e-06	1.328929e-04
6.222459655255079e-01	1.864360e-06	1.576955e-04
6.320115905255079e-01	2.120101e-06	1.848397e-04
